FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Denmark	Italy	1.0288017812269876	0.05614419680915845
Denmark	Jersey	0.8694194844790837	0.04786262331019364
Denmark	Leningrad_region	1.0099059045459884	0.05516989404457435
Denmark	Luxembourg	1.5167047562821119	0.08062355376933382
Denmark	Netherlands	0.8694194844790837	0.04786262331019364
Denmark	Poland	0.8903548215301603	0.04895871392035075
Denmark	Scotland	0.8485322930862311	0.046766532700036535
Denmark	Spain	0.9604891425934147	0.052612349287541105
Denmark	Wales	1.1143182384230403	0.060528559249786874
England	Finland	0.853169738945211	0.04701010839118256
England	France	12.43927038413731	0.4183412495432956
England	Gambia	2.0787603204885765	0.10729509194982341
England	Germany	0.16372652403776994	0.00937766410912191
England	Isle_of_Man	0.10170069609803277	0.005845816587504567
England	Italy	0.13586723656941066	0.007794422116672756
England	Jersey	0.23917683153219288	0.013640238704177323
England	Leningrad_region	0.1615803407366993	0.009255876263548898
England	Luxembourg	0.40527847818425516	0.02289611496772622
England	Netherlands	141995.84671367638	1.0
England	Poland	0.49619940996107725	0.027889416636219706
England	Scotland	141995.84671367638	0.999878212154427
England	Spain	2.5609490538802886	0.1289733284618195
England	Wales	141995.84671367638	1.0
Finland	France	0.7196391828867584	0.03994641334794787
Finland	Gambia	0.9206800887020593	0.050541955912799905
Finland	Germany	0.6490720198586042	0.03617099013518451
Finland	Isle_of_Man	0.6854246086659587	0.0381195956643527
Finland	Italy	0.6990948310979183	0.038850322737790766
Finland	Jersey	0.6038374681821981	0.03373523322372427
Finland	Leningrad_region	0.8045944736187445	0.04445256363414931
Finland	Luxembourg	1.1310392128722635	0.061381074168797956
Finland	Netherlands	0.8323198794453319	0.045914017781025454
Finland	Poland	1.1501861294516051	0.06235537693338205
Finland	Scotland	0.7333614988545571	0.04067714042138595
Finland	Spain	0.7723551647824766	0.04274753379612715
Finland	Wales	0.8161364128508517	0.04506150286201437
France	Gambia	1.5792119977309884	0.08366824990865912
France	Germany	1.2006366212401034	0.06491292169041529
France	Isle_of_Man	1.0785895680867845	0.05870174156619169
France	Italy	0.9934039517136608	0.05431737912556327
France	Jersey	1.0028299940184595	0.05480453050785532
France	Leningrad_region	0.878718124926819	0.04834977469248569
France	Luxembourg	0.8810442727260126	0.048471562538058705
France	Netherlands	2.002411249477685	0.10376324442820606
France	Poland	0.9511066608908502	0.052125197905249054
France	Scotland	0.8926839492775607	0.04908050176592376
France	Spain	1.171774028910202	0.06345146754353916
France	Wales	0.9206800887020593	0.050541955912799905
Gambia	Germany	0.5095833172129325	0.028620143709657778
Gambia	Isle_of_Man	240.44162553015482	0.9328948970892705
Gambia	Italy	0.43179315017280484	0.02435756911460236
Gambia	Jersey	0.4694918682445907	0.026427962489343565
Gambia	Leningrad_region	0.3546797556522906	0.02009499451954695
Gambia	Luxembourg	0.37664361128422685	0.021312872975277068
Gambia	Netherlands	0.563320916651719	0.03154305200341006
Gambia	Poland	0.40527847818425516	0.02289611496772622
Gambia	Scotland	0.37884300372249147	0.02143466082085008
Gambia	Spain	27.447166260924654	0.6134453781512605
Gambia	Wales	13.403432025327614	0.4366094263792474
Germany	Isle_of_Man	0.8740676150099564	0.04810619900133967
Germany	Italy	1.4348263706644682	0.07660455486542443
Germany	Jersey	1.341420670135364	0.07197661673364998
Germany	Leningrad_region	1.30237007757317	0.0700280112044818
Germany	Luxembourg	1.3389752042778245	0.07185482888807697
Germany	Netherlands	1.3463135279196399	0.072220192424796
