Group,GenomicGC,Label
AvH91,45.0310315,Av
AvH91,45.12808424,Av
AvH91,45.06245581,Av
AvH91,45.0310315,Av
AvH91,44.87390997,Av
AvH91,44.95520981,Av
AvH91,44.94735188,Av
AvH91,45.0310315,Av
AvH91,45.05736288,Av
AvH91,45.04950495,Av
AvH91,45.00235738,Av
AvH91,45.03378909,Av
AvH91,45.01021531,Av
AvH91,44.77963705,Av
AvH91,44.77963705,Av
AvH91,44.60160302,Av
AvH91,44.7639249,Av
AvH91,45.19880559,Av
AvH91,44.98190971,Av
AvH91,45.33227218,Av
AvH91,44.88176605,Av
AvH91,44.77447745,Av
AvH91,45.19094767,Av
AvH91,44.81891743,Av
AvH91,44.84248566,Av
AvH91,45.02317543,Av
AvH91,44.99175112,Av
AvH91,44.91319035,Av
AvH91,44.81106136,Av
AvH91,44.81106136,Av
AvH91,44.7639249,Av
AvH91,45.12530442,Av
AvH91,44.87390997,Av
AvH91,45.10451045,Av
AvH91,45.05459973,Av
AvH91,44.88962212,Av
AvH91,44.92104643,Av
AvH91,44.74821274,Av
AvH91,45.12530442,Av
AvH91,45.07307874,Av
AvH91,44.8711907,Av
AvH91,44.91831605,Av
AvH91,44.84519881,Av
AvH91,44.86605389,Av
AvH91,44.90806223,Av
AvH91,44.90020431,Av
AvH91,44.85305673,Av
AvH91,44.90762672,Av
AvH91,44.8974782,Av
AvH91,44.82162502,Av
AvH91,44.88448845,Av
AvH91,44.86877259,Av
AvH91,45.07031189,Av
AvH91,44.90806223,Av
AvH91,44.96818289,Av
AvH91,44.95247074,Av
AvH91,44.92104643,Av
AvH91,44.85819782,Av
AvH91,44.87663052,Av
AvH91,44.94461466,Av
AvH91,44.94461466,Av
AvH91,44.96818289,Av
AvH91,44.75090366,Av
AvH91,44.9996072,Av
AvH91,44.93163602,Av
AvH91,44.97603897,Av
AvH91,45.01256676,Av
AvH91,44.99685831,Av
AvH91,45.14887265,Av
AvH91,45.10681747,Av
AvH91,44.74304573,Av
AvH91,44.87663052,Av
AvH91,44.84519881,Av
AvH91,45.11744835,Av
AvH91,44.81376709,Av
AvH91,45.09896324,Av
AvH91,45.1331605,Av
AvH91,44.91592016,Av
AvH91,45.16965127,Av
AvH91,44.96818289,Av
AvH91,44.90595611,Av
AvH91,45.09110902,Av
AvH91,45.02827521,Av
AvH91,44.85034174,Av
AvH91,45.02317543,Av
AvH91,45.11744835,Av
AvH91,45.09388012,Av
AvH91,45.12530442,Av
AvH91,45.10173619,Av
AvH91,44.81376709,Av
AvH91,45.15672873,Av
AvH91,45.18815304,Av
AvH91,44.92890251,Av
AvH91,45.1331605,Av
AvH91,45.16458481,Av
AvH91,44.92890251,Av
AvH91,45.07816796,Av
AvH91,44.75876159,Av
AvH91,44.86091466,Av
AvH91,45.08602404,Av
AvH91,44.99175112,Av
AvH91,45.04674366,Av
AvH91,44.92890251,Av
AvH91,45.04674366,Av
AvH91,44.99685831,Av
AvH91,44.92479723,Av
