G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,B3.13,HuH3N8
44.49937225,44.8551919,45.02510986,45.03295669,44.70338983,44.91445613,44.89171375,44.81243133,44.80376766,45.02510986,,,,,44.76616447,
44.49937225,44.83949455,45.01726303,45.00156937,44.68769617,44.92310107,44.89956058,44.82893911,44.82893911,45.09010082,,,,,44.75047081,
44.48716943,44.86736776,44.99372254,45.0094162,44.66698084,44.91525424,44.88386692,44.81324545,44.82893911,,,,,,44.76616447,
44.50721908,44.82379719,44.94664156,45.04080352,44.65630885,44.91093149,44.92310107,44.80539862,44.83678594,,,,,,44.7740113,
44.46362709,44.79240248,44.91525424,45.04865035,44.67200251,44.88386692,44.90740741,44.82109228,44.82893911,,,,,,44.76616447,
44.49152542,44.80809984,44.92310107,45.04865035,44.73477715,44.91525424,44.88386692,44.82109228,,,,,,,44.76616447,
44.48367859,44.70523589,45.06434401,45.01726303,44.73477715,44.9309479,44.88386692,44.82109228,,,,,,,44.75831764,
44.49152542,44.72961306,45.08003766,45.08003766,44.68769617,44.9309479,44.90740741,44.80539862,,,,,,,44.78185813,
44.49937225,44.76885645,45.08788449,45.08003766,44.68769617,44.9309479,44.89171375,44.81324545,,,,,,,44.76616447,
44.52291274,44.80025116,45.08788449,45.03295669,44.68769617,44.93879473,44.89171375,44.82893911,,,,,,,44.76616447,
44.4706067,44.78185813,45.06434401,45.03295669,44.695543,44.89956058,44.90740741,44.81324545,,,,,,,44.80539862,
44.50985009,44.71123666,45.07219083,45.03295669,44.70338983,44.86032643,44.87602009,44.82109228,,,,,,,44.78185813,
44.48979592,44.72693032,45.08003766,45.03295669,44.63276836,44.88386692,44.89171375,44.82109228,,,,,,,44.74262398,
44.47496468,44.68769617,45.08003766,45.01726303,44.71908349,44.91525424,44.89956058,44.82109228,,,,,,,44.74262398,
44.49415274,44.71908349,45.03295669,45.11927181,44.71908349,44.90740741,44.90740741,44.79755179,,,,,,,44.76616447,
44.49764521,44.71908349,45.03295669,45.04865035,44.71123666,44.89956058,44.88386692,44.78970496,,,,,,,44.78185813,
